Symbol_1,periodOfReport,employeeCount
III.L,,
III.L,,
ABE.MC,,
ABE.MC,,
ABE.MC,,
ABE.MC,,
ABM,2024-10-31,117000
ABT,2023-12-31,114000
ABT,2023-12-31,114000
ABT,2023-12-31,114000
ABT,2023-12-31,114000
ABT,2023-12-31,114000
ABT,2023-12-31,114000
ABT,2023-12-31,114000
ABT,2023-12-31,114000
ABT,2023-12-31,114000
ABT,2023-12-31,114000
ABT,2023-12-31,114000
ABT,2023-12-31,114000
ABT,2023-12-31,114000
ABT,2023-12-31,114000
ABT,2023-12-31,114000
ABT,2023-12-31,114000
ABT,2023-12-31,114000
ADN.L,,
ADN.L,,
A2A.MI,,
A2A.MI,,
BGA.JO,,
ACC.BO,,
ACC.BO,,
ACC.BO,,
ACC.BO,,
ANA.MC,,
ANA.MC,,
ANA.MC,,
ANA.MC,,
ANA.MC,,
ANA.MC,,
ANA.MC,,
AC.PA,,
AC.PA,,
AC.PA,,
AC.PA,,
AC.PA,,
AC.PA,,
AC.PA,,
ACX.MC,,
ACX.MC,,
ACX.MC,,
ACX.MC,,
ACX.MC,,
ADP.PA,,
ADP.PA,,
ADP.PA,,
ADM.L,,
ADM.L,,
unknown,,
AIP.JO,,
AIP.JO,,
AIP.JO,,
AIP.JO,,
AIP.JO,,
ADEN.SW,,
ADEN.SW,,
ADEN.SW,,
unknown,,
AGN.AS,,
AGS.L,,
AGS.L,,
AGS.L,,
AGS.L,,
AGS.L,,
AGS.L,,
AGS.L,,
AGS.L,,
AGS.L,,
AGS.L,,
AGS.L,,
AGS.L,,
AGS.L,,
AGS.L,,
AGS.L,,
8267.T,,
8267.T,,
8267.T,,
8267.T,,
8267.T,,
8267.T,,
8267.T,,
8267.T,,
8267.T,,
8267.T,,
ABBN.SW,,
MMM,2024-12-31,61500
MMM,2024-12-31,61500
MMM,2024-12-31,61500
MMM,2024-12-31,61500
MMM,2024-12-31,61500
ANF,2024-02-03,31700
ACE.MI,,
ACE.MI,,
ADBE,2024-11-29,30709
ADBE,2024-11-29,30709
ADBE,2024-11-29,30709
ADBE,2024-11-29,30709
AMD,2024-12-28,28000
AMD,2024-12-28,28000
AMD,2024-12-28,28000
AMD,2024-12-28,28000
GETI4.SA,,
AET,,
AET,,
AFL,2023-12-31,12785
AFL,2023-12-31,12785
AFL,2023-12-31,12785
AXL.JO,,
AXL.JO,,
AXL.JO,,
AXL.JO,,
ARI.JO,,
ARI.JO,,
ARI.JO,,
ARI.JO,,
ARI.JO,,
ARI.JO,,
A,2024-10-31,17900
A,2024-10-31,17900
A,2024-10-31,17900
2802.T,,
2802.T,,
2802.T,,
2802.T,,
2802.T,,
2802.T,,
AHL1V.HE,,
AC.TO,,
AF.PA,,
AF.PA,,
AF.PA,,
AF.PA,,
AF.PA,,
AF.PA,,
AF.PA,,
AF.PA,,
AF.PA,,
AF.PA,,
AF.PA,,
AF.PA,,
AF.PA,,
AF.PA,,
AF.PA,,
AF.PA,,
AF.PA,,
AI.PA,,
AIR.NZ,,
APD,2024-09-30,23000
APD,2024-09-30,23000
APD,2024-09-30,23000
APD,2024-09-30,23000
APD,2024-09-30,23000
APD,2024-09-30,23000
APD,2024-09-30,23000
APD,2024-09-30,23000
APD,2024-09-30,23000
APD,2024-09-30,23000
APD,2024-09-30,23000
APD,2024-09-30,23000
ALU.PA,,
ALU.PA,,
ALU.PA,,
ALU.PA,,
ALU.PA,,
ALU.PA,,
ALU.PA,,
ALU.PA,,
ALU.PA,,
AKBNK.IS,,
AKBNK.IS,,
AKBNK.IS,,
AKAM,2022-12-31,9800
AKAM,2022-12-31,9800
AKAM,2022-12-31,9800
AKAM,2022-12-31,9800
AKAM,2022-12-31,9800
AKAM,2022-12-31,9800
AKZA.AS,,
AKZA.AS,,
AKZA.AS,,
AKZA.AS,,
AKZA.AS,,
AKZA.AS,,
AKZA.AS,,
AKZA.AS,,
AKZA.AS,,
AKZA.AS,,
AKZA.AS,,
AKZA.AS,,
AKZA.AS,,
AKZA.AS,,
AKZA.AS,,
AA,2023-12-31,13600
AA,2023-12-31,13600
AA,2023-12-31,13600
AA,2023-12-31,13600
AA,2023-12-31,13600
AA,2023-12-31,13600
AA,2023-12-31,13600
AA,2023-12-31,13600
AA,2023-12-31,13600
AA,2023-12-31,13600
AA,2023-12-31,13600
AA,2023-12-31,13600
AGN,,
AGN,,
AGN,,
AGN,,
ALN1V.HE,,
ALN1V.HE,,
ALN1V.HE,,
ALN1V.HE,,
ALN1V.HE,,
ALN1V.HE,,
ALN1V.HE,,
AOI,,
ATST.L,,
ATST.L,,
ALL,2023-12-31,53000
ALL,2023-12-31,53000
ALL,2023-12-31,53000
ALV.DE,,
ALV.DE,,
ALV.DE,,
AEL.JO,,
AEL.JO,,
AEL.JO,,
AEL.JO,,
AEL.JO,,
AEL.JO,,
AEL.JO,,
AEL.JO,,
AEL.JO,,
AEL.JO,,
AEL.JO,,
AEL.JO,,
AEL.JO,,
AEL.JO,,
AEL.JO,,
ALBK.L,,
ALBK.L,,
AWC.AX,,
AWC.AX,,
AWC.AX,,
ALO.PA,,
ALO.PA,,
AOX.DE,,
AOX.DE,,
AOX.DE,,
MO,,
1154Z,,
AMEAS.HE,,
AMEAS.HE,,
AMEAS.HE,,
AMEAS.HE,,
AAL,2023-12-31,132100
AAL,2023-12-31,132100
AEE,2023-12-31,0
AEE,2023-12-31,0
AMC.AX,,
AMC.AX,,
AMC.AX,,
AMC.AX,,
AMFW.L,,
AMFW.L,,
AMFW.L,,
AMFW.L,,
AMFW.L,,
AMFW.L,,
AMFW.L,,
AXP,2024-12-31,75100
AMGN,2023-12-31,26700
AMGN,2023-12-31,26700
AMGN,2023-12-31,26700
AMGN,2023-12-31,26700
AML.L,,
AML.L,,
AML.L,,
AML.L,,
AMP.AX,,
APC,,
AAL.L,,
AAL.L,,
AAL.L,,
AAL.L,,
AAL.L,,
AAL.L,,
AAL.L,,
AAL.L,,
AAL.L,,
AAL.L,,
AAL.L,,
AAL.L,,
AAL.L,,
AAL.L,,
AAL.L,,
AAL.L,,
AAL.L,,
AMS.JO,,
AMS.JO,,
AMS.JO,,
AMS.JO,,
AMS.JO,,
AMS.JO,,
AMS.JO,,
AMS.JO,,
AMS.JO,,
ANG.JO,,
ANG.JO,,
ANG.JO,,
APA.AX,,
STS.MI,,
STS.MI,,
STS.MI,,
STS.MI,,
STS.MI,,
ANTO.L,,
ANTO.L,,
ANTO.L,,
ANTO.L,,
ANTO.L,,
ANTO.L,,
ANTO.L,,
ANTO.L,,
ANTO.L,,
ANTO.L,,
ANTO.L,,
ANTO.L,,
ANTO.L,,
ANTO.L,,
ANTO.L,,
ANTO.L,,
ANTO.L,,
AON,2023-12-31,50000
ATR,2024-12-31,13500
ARCAD.AS,,
ARCAD.AS,,
ACL.JO,,
ACL.JO,,
ARX.TO,,
MT.AS,,
ARM.L,,
ARM.L,,
