Symbol_1,date,environmentalScore,socialScore,governanceScore,ESGScore
III.L,,,,,
III.L,,,,,
ABE.MC,,,,,
ABE.MC,,,,,
ABE.MC,,,,,
ABE.MC,,,,,
ABM,2024-10-31,70.71,64.39,62.45,65.85
ABT,2024-09-30,64.7,54.9,63.3,60.97
ABT,2024-09-30,64.7,54.9,63.3,60.97
ABT,2024-09-30,64.7,54.9,63.3,60.97
ABT,2024-09-30,64.7,54.9,63.3,60.97
ABT,2024-09-30,64.7,54.9,63.3,60.97
ABT,2024-09-30,64.7,54.9,63.3,60.97
ABT,2024-09-30,64.7,54.9,63.3,60.97
ABT,2024-09-30,64.7,54.9,63.3,60.97
ABT,2024-09-30,64.7,54.9,63.3,60.97
ABT,2024-09-30,64.7,54.9,63.3,60.97
ABT,2024-09-30,64.7,54.9,63.3,60.97
ABT,2024-09-30,64.7,54.9,63.3,60.97
ABT,2024-09-30,64.7,54.9,63.3,60.97
ABT,2024-09-30,64.7,54.9,63.3,60.97
ABT,2024-09-30,64.7,54.9,63.3,60.97
ABT,2024-09-30,64.7,54.9,63.3,60.97
ABT,2024-09-30,64.7,54.9,63.3,60.97
ADN.L,,,,,
ADN.L,,,,,
A2A.MI,,,,,
A2A.MI,,,,,
BGA.JO,,,,,
ACC.BO,,,,,
ACC.BO,,,,,
ACC.BO,,,,,
ACC.BO,,,,,
ANA.MC,,,,,
ANA.MC,,,,,
ANA.MC,,,,,
ANA.MC,,,,,
ANA.MC,,,,,
ANA.MC,,,,,
ANA.MC,,,,,
AC.PA,,,,,
AC.PA,,,,,
AC.PA,,,,,
AC.PA,,,,,
AC.PA,,,,,
AC.PA,,,,,
AC.PA,,,,,
ACX.MC,,,,,
ACX.MC,,,,,
ACX.MC,,,,,
ACX.MC,,,,,
ACX.MC,,,,,
ADP.PA,,,,,
ADP.PA,,,,,
ADP.PA,,,,,
ADM.L,,,,,
ADM.L,,,,,
unknown,,,,,
AIP.JO,,,,,
AIP.JO,,,,,
AIP.JO,,,,,
AIP.JO,,,,,
AIP.JO,,,,,
ADEN.SW,,,,,
ADEN.SW,,,,,
ADEN.SW,,,,,
unknown,,,,,
AGN.AS,,,,,
AGS.L,,,,,
AGS.L,,,,,
AGS.L,,,,,
AGS.L,,,,,
AGS.L,,,,,
AGS.L,,,,,
AGS.L,,,,,
AGS.L,,,,,
AGS.L,,,,,
AGS.L,,,,,
AGS.L,,,,,
AGS.L,,,,,
AGS.L,,,,,
AGS.L,,,,,
AGS.L,,,,,
8267.T,,,,,
8267.T,,,,,
8267.T,,,,,
8267.T,,,,,
8267.T,,,,,
8267.T,,,,,
8267.T,,,,,
8267.T,,,,,
8267.T,,,,,
8267.T,,,,,
ABBN.SW,,,,,
MMM,2024-12-31,67.97,69.87,71.11,69.65
MMM,2024-12-31,67.97,69.87,71.11,69.65
MMM,2024-12-31,67.97,69.87,71.11,69.65
MMM,2024-12-31,67.97,69.87,71.11,69.65
MMM,2024-12-31,67.97,69.87,71.11,69.65
ANF,,,,,
ACE.MI,,,,,
ACE.MI,,,,,
ADBE,2024-11-29,71.21,70.39,63.32,68.31
ADBE,2024-11-29,71.21,70.39,63.32,68.31
ADBE,2024-11-29,71.21,70.39,63.32,68.31
ADBE,2024-11-29,71.21,70.39,63.32,68.31
AMD,2024-09-28,59.24,58.23,61.09,59.52
AMD,2024-09-28,59.24,58.23,61.09,59.52
AMD,2024-09-28,59.24,58.23,61.09,59.52
AMD,2024-09-28,59.24,58.23,61.09,59.52
GETI4.SA,,,,,
AET,,,,,
AET,,,,,
AFL,2024-09-30,60.72,67.33,59.76,62.61
AFL,2024-09-30,60.72,67.33,59.76,62.61
AFL,2024-09-30,60.72,67.33,59.76,62.61
AXL.JO,,,,,
AXL.JO,,,,,
AXL.JO,,,,,
AXL.JO,,,,,
ARI.JO,,,,,
ARI.JO,,,,,
ARI.JO,,,,,
ARI.JO,,,,,
ARI.JO,,,,,
ARI.JO,,,,,
A,2024-10-31,76.67,69.41,63.12,69.74
A,2024-10-31,76.67,69.41,63.12,69.74
A,2024-10-31,76.67,69.41,63.12,69.74
2802.T,,,,,
2802.T,,,,,
2802.T,,,,,
2802.T,,,,,
2802.T,,,,,
2802.T,,,,,
AHL1V.HE,,,,,
AC.TO,,,,,
AF.PA,,,,,
AF.PA,,,,,
AF.PA,,,,,
AF.PA,,,,,
AF.PA,,,,,
AF.PA,,,,,
AF.PA,,,,,
AF.PA,,,,,
AF.PA,,,,,
AF.PA,,,,,
AF.PA,,,,,
AF.PA,,,,,
AF.PA,,,,,
AF.PA,,,,,
AF.PA,,,,,
AF.PA,,,,,
AF.PA,,,,,
AI.PA,,,,,
AIR.NZ,,,,,
APD,2024-12-31,68.21,74.16,75.12,72.5
APD,2024-12-31,68.21,74.16,75.12,72.5
APD,2024-12-31,68.21,74.16,75.12,72.5
APD,2024-12-31,68.21,74.16,75.12,72.5
APD,2024-12-31,68.21,74.16,75.12,72.5
APD,2024-12-31,68.21,74.16,75.12,72.5
APD,2024-12-31,68.21,74.16,75.12,72.5
APD,2024-12-31,68.21,74.16,75.12,72.5
APD,2024-12-31,68.21,74.16,75.12,72.5
APD,2024-12-31,68.21,74.16,75.12,72.5
APD,2024-12-31,68.21,74.16,75.12,72.5
APD,2024-12-31,68.21,74.16,75.12,72.5
ALU.PA,,,,,
ALU.PA,,,,,
ALU.PA,,,,,
ALU.PA,,,,,
ALU.PA,,,,,
ALU.PA,,,,,
ALU.PA,,,,,
ALU.PA,,,,,
ALU.PA,,,,,
AKBNK.IS,,,,,
AKBNK.IS,,,,,
AKBNK.IS,,,,,
AKAM,2024-09-30,60.08,51.49,66.26,59.28
AKAM,2024-09-30,60.08,51.49,66.26,59.28
AKAM,2024-09-30,60.08,51.49,66.26,59.28
AKAM,2024-09-30,60.08,51.49,66.26,59.28
AKAM,2024-09-30,60.08,51.49,66.26,59.28
AKAM,2024-09-30,60.08,51.49,66.26,59.28
AKZA.AS,,,,,
AKZA.AS,,,,,
AKZA.AS,,,,,
AKZA.AS,,,,,
AKZA.AS,,,,,
AKZA.AS,,,,,
AKZA.AS,,,,,
AKZA.AS,,,,,
AKZA.AS,,,,,
AKZA.AS,,,,,
AKZA.AS,,,,,
AKZA.AS,,,,,
AKZA.AS,,,,,
AKZA.AS,,,,,
AKZA.AS,,,,,
AA,2024-09-30,65.32,72.23,78.27,71.94
AA,2024-09-30,65.32,72.23,78.27,71.94
AA,2024-09-30,65.32,72.23,78.27,71.94
AA,2024-09-30,65.32,72.23,78.27,71.94
AA,2024-09-30,65.32,72.23,78.27,71.94
AA,2024-09-30,65.32,72.23,78.27,71.94
AA,2024-09-30,65.32,72.23,78.27,71.94
AA,2024-09-30,65.32,72.23,78.27,71.94
AA,2024-09-30,65.32,72.23,78.27,71.94
AA,2024-09-30,65.32,72.23,78.27,71.94
