Feature,Covariance
Revenue,3.7170400811953423e+18
totalEquity,3.484880016011959e+18
Market_Cap,1.1363613113445683e+18
ebitda,8.019971902378945e+17
netIncome,4.1629300006354656e+17
totalAssets_USD,1.5774064630861437e+17
Revenue_USD,1.4332067849545978e+17
Market_Cap_USD,8.463293840978834e+16
totalEquity_USD,4.515570207572797e+16
longTermInvestments_USD,3.585826613998554e+16
grossProfit,3.529931310863683e+16
totalDebt_USD,3.403133860130025e+16
grossProfit_USD,2.8487768489100204e+16
totalInvestments_USD,2.7444173452122876e+16
ebitda_USD,1.5666854203601732e+16
netIncome_USD,6108391191344539.0
employeeCount,1115139098510.0774
Employee_Count,961068364127.9303
governanceScore,56310178.4198513
environmentalScore,55034368.011542186
ESGScore,52905295.09749749
socialScore,47414147.60520045
random_uniform,-95851.14131885595
random_normal,-1140106.5642697467
Year,-2060488.1746299288
account_id,-241848308421.89066
cashAndCashEquivalents_USD,-122369917361593.66
shortTermInvestments_USD,-9273274550113534.0
totalLiabilities_USD,-6.495148627255837e+16
shortTermInvestments,-2.2536017535172522e+17
totalDebt,-9.789745141260878e+17
cashAndCashEquivalents,-1.047022958694769e+18
totalAssets,-1.4539903101417216e+18
longTermInvestments,-2.6057422085505905e+18
totalInvestments,-2.6442969799862364e+18
totalLiabilities,-3.4990589788335027e+18
